"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcolnut  ","P",03/24/2003 9:50,1,1,1         ,1         ,"",0.015,<4>  ,0.068,<4>  ,0.0119,<4>  ,4.919,<4>  C                   ,4.931,<4>  ,2.0,<4>  ,
"owcolnut  ","P",03/24/2003 9:51,1,1,1         ,2         ,"",0.0147,<4>  ,0.076,<4>  ,0.0121,<4>  ,4.954,<4>  C                   ,4.966,<4>  ,2.0,<4>  ,
"owcolnut  ","P",04/14/2003 9:20,1,1,1         ,1         ,"",0.0097,<4>  ,0.081,<4>  ,0.0168,<4>  ,4.689,<4>  C                   ,4.706,<4>  ,4.01,<4>  ,
"owcolnut  ","P",04/14/2003 9:21,1,1,1         ,2         ,"",0.0103,<4>  ,0.1,<4>  ,0.017,<4>  ,4.622,<4>  C                   ,4.639,<4>  ,4.01,<4>  ,
"owcolnut  ","P",05/05/2003 8:10,1,1,1         ,1         ,"",0.0032,<4>  ,0.353,<4>  ,0.0392,<4>  ,0.549,<4>  C                   ,0.588,<4>  ,42.72,<4>  ,
"owcolnut  ","P",05/05/2003 8:11,1,1,1         ,2         ,"",0.0024,<4>  ,0.347,<4>  ,0.0392,<4>  ,0.549,<4>  C                   ,0.588,<4>  ,43.79,<4>  ,
"owcolnut  ","P",05/19/2003 8:50,1,1,1         ,1         ,"",0.0048,<4>  ,0.297,<4>  ,0.0728,<4>  ,3.471,<4>  C                   ,3.544,<4>  ,3.2,<4>  ,
"owcolnut  ","P",05/19/2003 8:51,1,1,1         ,2         ,"",0.0063,<4>  ,0.295,<4>  ,0.0732,<4>  ,3.481,<4>  C                   ,3.554,<4>  ,5.34,<4>  ,
"owcolnut  ","P",06/02/2003 8:20,1,1,1         ,1         ,"",0.0146,<4>  ,0.232,<4>  ,0.1028,<4>  ,11.815,<4>  C                   ,11.918,<4>  ,3.56,<4>  ,
"owcolnut  ","P",06/02/2003 8:21,1,1,1         ,2         ,"",0.0156,<4>  ,0.221,<4>  ,0.0973,<4>  ,11.721,<4>  C                   ,11.818,<4>  ,3.56,<4>  ,
