"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcwmnut  ","P",03/12/2002 9:10,1,1,1         ,2         ,"",0.0061,<4>  ,0.116,<4>  ,0.0186,<4>  ,3.918,<4>  C                   ,3.937,<4>  ,1.67,<4>  ,
"owcwmnut  ","P",03/12/2002 9:10,1,1,1         ,1         ,"",0.0057,<4>  ,0.12,<4>  ,0.0182,<4>  ,3.914,<4>  C                   ,3.932,<4>  ,1.67,<4>  ,
"owcwmnut  ","P",03/18/2002 8:00,1,1,2         ,1         ,"",0.0036,<4>  ,0.072,<4>  ,0.0258,<4>  ,2.207,<4>  C                   ,2.233,<4>  ,4.27,<4>  ,
"owcwmnut  ","P",03/18/2002 10:00,1,1,2         ,1         ,"",0.0048,<4>  ,0.096,<4>  ,0.0255,<4>  ,2.173,<4>  C                   ,2.199,<4>  ,4.81,<4>  ,
"owcwmnut  ","P",03/18/2002 12:00,1,1,2         ,1         ,"",0.0046,<4>  ,0.061,<4>  ,0.0234,<4>  ,2.05,<4>  C                   ,2.074,<4>  ,4.27,<4>  ,
"owcwmnut  ","P",03/18/2002 14:00,1,1,2         ,1         ,"",0.0046,<4>  ,0.07,<4>  ,0.0279,<4>  ,2.657,<4>  C                   ,2.685,<4>  ,4.81,<4>  ,
"owcwmnut  ","P",03/18/2002 16:00,1,1,2         ,1         ,"",0.0042,<4>  ,0.057,<4>  ,0.0246,<4>  ,2.168,<4>  C                   ,2.193,<4>  ,5.87,<4>  ,
"owcwmnut  ","P",03/18/2002 18:00,1,1,2         ,1         ,"",0.0034,<4>  ,0.055,<4>  ,0.0283,<4>  ,2.645,<4>  C                   ,2.673,<4>  ,4.81,<4>  ,
"owcwmnut  ","P",03/18/2002 20:00,1,1,2         ,1         ,"",0.0037,<4>  ,0.056,<4>  ,0.0266,<4>  ,2.674,<4>  C                   ,2.701,<4>  ,5.34,<4>  ,
"owcwmnut  ","P",03/18/2002 22:00,1,1,2         ,1         ,"",0.0037,<4>  ,0.055,<4>  ,0.0271,<4>  ,2.582,<4>  C                   ,2.609,<4>  ,4.27,<4>  ,
